paper_id,year,venue,venue_group,inferred_tasks,llm_judge_model,llm_judge_type_auto,llm_judge_type_final,llm_judge_type
I17-2075,2017,ijcnlp,core_nlp,paraphrase,character-aware neural language model (LM),unknown,ml_evaluator,ML
W17-5534,2017,workshop,other,dialogue,discriminative_model,unknown,ml_evaluator,ML
D19-1409,2019,emnlp,core_nlp,general_nlg,,unknown,ml_evaluator,ML
N19-4006,2019,naacl,core_nlp,machine_translation,neural text classifier,unknown,ml_evaluator,ML
2020.coling-main.599,2020,coling,other,dialogue,transformer neural networks based language models,unknown,ml_evaluator,ML
2020.emnlp-main.701,2020,emnlp,core_nlp,paraphrase|general_nlg,trigram Kneser-Ney Language Model,unknown,ml_evaluator,ML
2020.emnlp-main.8,2020,emnlp,core_nlp,machine_translation|paraphrase,multilingual NMT system,unknown,ml_evaluator,ML
2020.eval4nlp-1.2,2020,eval4nlp,other,summarization,,unknown,ml_evaluator,ML
2020.evalnlgeval-1.4,2020,evalnlgeval,generation,machine_translation|general_nlg,NUBIA,unknown,ml_evaluator,ML
2021.emnlp-main.539,2021,emnlp,core_nlp,machine_translation,Levenshtein Transformer (LevT),unknown,ml_evaluator,ML
2021.emnlp-main.803,2021,emnlp,core_nlp,machine_translation,state-of-the-art ensemble,unknown,ml_evaluator,ML
2021.findings-acl.379,2021,findings,other,dialogue,DeepMoji,unknown,ml_evaluator,ML
2021.sigdial-1.20,2021,sigdial,other,dialogue,RoBERTa-eval,unknown,ml_evaluator,ML
2021.triton-1.5,2021,triton,other,machine_translation,NoDeeLe,unknown,ml_evaluator,ML
2021.wmt-1.109,2021,wmt,other,machine_translation,LaBSE,unknown,ml_evaluator,ML
2022.acl-long.334,2022,acl,core_nlp,dialogue,"DialogGPT, DialogRPT",unknown,ml_evaluator,ML
2022.acl-short.83,2022,acl,core_nlp,question_generation,RoBERTa,unknown,ml_evaluator,ML
2022.emnlp-main.108,2022,emnlp,core_nlp,machine_translation,Transformer language model (Transf. LM),unknown,instruction_llm,unknown
2022.emnlp-main.546,2022,emnlp,core_nlp,captioning,out-of-the-box neural image retrieval model,unknown,instruction_llm,unknown
2022.naacl-main.396,2022,naacl,core_nlp,paraphrase,Codex,unknown,instruction_llm,unknown
2023.acl-long.539,2023,acl,core_nlp,summarization|dialogue|general_nlg,instruction-tuned PLM,unknown,instruction_llm,unknown
2023.acl-long.870,2023,acl,core_nlp,story_generation,GPT3,unknown,instruction_llm,unknown
2023.emnlp-industry.62,2023,emnlp,core_nlp,summarization,,unknown,instruction_llm,unknown
2023.emnlp-main.112,2023,emnlp,core_nlp,paraphrase|instruction_following,,unknown,instruction_llm,unknown
2023.emnlp-main.153,2023,emnlp,core_nlp,summarization|dialogue|general_nlg,LLM3.75,unknown,instruction_llm,unknown
2023.emnlp-main.16,2023,emnlp,core_nlp,machine_translation|summarization|dialogue|question_generation|paraphrase|general_nlg,,unknown,instruction_llm,unknown
2024.acl-long.105,2024,acl,core_nlp,machine_translation|instruction_following,,unknown,instruction_llm,unknown
2024.acl-long.152,2024,acl,core_nlp,dialogue|general_nlg,instruction-following language model,unknown,instruction_llm,unknown
2024.acl-long.205,2024,acl,core_nlp,captioning,LLaVA,unknown,instruction_llm,instruct
2024.acl-long.227,2024,acl,core_nlp,dialogue|general_nlg,,unknown,instruction_llm,unknown
2024.acl-long.283,2024,acl,core_nlp,general_nlg,,unknown,instruction_llm,unknown
2024.acl-long.288,2024,acl,core_nlp,general_nlg,GPT-judge,unknown,instruction_llm,unknown
